,gdp_per_capita,life_expectancy,literacy_rate,log10_gdp_per_capita
gdp_per_capita,1.0,0.5920639676126724,0.42559910178700006,0.8086304879074668
life_expectancy,0.5920639676126724,1.0,0.7464835983929332,0.7988214424388347
literacy_rate,0.42559910178700006,0.7464835983929332,1.0,0.7307528750169002
log10_gdp_per_capita,0.8086304879074668,0.7988214424388347,0.7307528750169002,1.0
